,version,num_steps,model_size,time
0,Python v1,2000.0,2000.0,296.938162724
1,Python v2,2000.0,2000.0,293.1085143370001
2,Numba v1,2000.0,2000.0,0.48495309999998426
3,Numba v2,2000.0,2000.0,0.5131859280008939
4,Numba v3,2000.0,2000.0,2.1913547920048586
5,Numba v4,2000.0,2000.0,1.965785855994909
6,Fortran v1,2000.0,2000.0,0.017402132994902786
7,Fortran v2,2000.0,2000.0,0.017400411998096388
8,Fortran v3,2000.0,2000.0,0.01780768699973123
9,"C v1 (gcc, -O3)",2000.0,2000.0,0.04182731900073122
10,"C v2 (gcc, -O2)",2000.0,2000.0,0.040584353999292944
11,"C v2 (gcc, -O3)",2000.0,2000.0,0.040620051993755624
12,"C v2 (gcc, -Ofast)",2000.0,2000.0,0.034018842001387384
13,"C v2 (gcc, -Ofast, autoparallel)",2000.0,2000.0,0.03548916599538643
14,"C v3 (gcc, -O3)",2000.0,2000.0,0.013302869003382511
15,"C v4 (gcc, -O3)",2000.0,2000.0,0.012205505998281296
16,"C v5 (gcc, -O2)",2000.0,2000.0,0.012157925993960816
17,"C v5 (gcc, -O3)",2000.0,2000.0,0.012237571994774044
18,"C v5 (gcc, -Ofast)",2000.0,2000.0,0.01211828799569048
