,version,num_steps,model_size,time
0,Python v1,20.0,200.0,0.29756182399432873
1,Python v2,20.0,200.0,0.2930407070016372
2,Numba v1,20.0,200.0,0.37794970699906116
3,Numba v2,20.0,200.0,0.41046981800172944
4,Numba v3,20.0,200.0,0.32994624099956127
5,Numba v4,20.0,200.0,0.3190270950071863
6,Fortran v1,20.0,200.0,3.0451999919023365e-05
7,Fortran v2,20.0,200.0,3.225500404369086e-05
8,Fortran v3,20.0,200.0,3.287700383225456e-05
9,"C v1 (gcc, -O3)",20.0,200.0,0.00010051300341729075
10,"C v2 (gcc, -O2)",20.0,200.0,0.00018381499830866233
11,"C v2 (gcc, -O3)",20.0,200.0,0.00012557599984575063
12,"C v2 (gcc, -Ofast)",20.0,200.0,0.00011122500291094184
13,"C v2 (gcc, -Ofast, autoparallel)",20.0,200.0,0.00011739000183297321
14,"C v3 (gcc, -O3)",20.0,200.0,0.0008092380012385547
15,"C v4 (gcc, -O3)",20.0,200.0,0.00013429499813355505
16,"C v5 (gcc, -O2)",20.0,200.0,0.0001383480048389174
17,"C v5 (gcc, -O3)",20.0,200.0,0.00012922399764647707
18,"C v5 (gcc, -Ofast)",20.0,200.0,0.00012575100117828697
19,Python v1,20.0,400.0,0.6148583510002936
20,Python v2,20.0,400.0,0.5918472119956277
21,Numba v1,20.0,400.0,0.3806512209994253
22,Numba v2,20.0,400.0,0.40903154599800473
23,Numba v3,20.0,400.0,0.3303222380054649
24,Numba v4,20.0,400.0,0.31805463699856773
25,Fortran v1,20.0,400.0,0.0002887619993998669
26,Fortran v2,20.0,400.0,0.00018976699357153848
27,Fortran v3,20.0,400.0,0.00019003500347025692
28,"C v1 (gcc, -O3)",20.0,400.0,0.0009276269993279129
29,"C v2 (gcc, -O2)",20.0,400.0,0.0004924290042254142
30,"C v2 (gcc, -O3)",20.0,400.0,0.0004801909963134676
31,"C v2 (gcc, -Ofast)",20.0,400.0,0.00048714500007918105
32,"C v2 (gcc, -Ofast, autoparallel)",20.0,400.0,0.00048617499851388857
33,"C v3 (gcc, -O3)",20.0,400.0,0.0004945190012222156
34,"C v4 (gcc, -O3)",20.0,400.0,0.00037744899600511417
35,"C v5 (gcc, -O2)",20.0,400.0,0.0003766080044442788
36,"C v5 (gcc, -O3)",20.0,400.0,0.00037408299976959825
37,"C v5 (gcc, -Ofast)",20.0,400.0,0.0003746570000657812
38,Python v1,20.0,600.0,0.8892389169996022
39,Python v2,20.0,600.0,0.885660462998203
40,Numba v1,20.0,600.0,0.3827123239971115
41,Numba v2,20.0,600.0,0.4118633679972845
42,Numba v3,20.0,600.0,0.3291056070011109
43,Numba v4,20.0,600.0,0.31875435799884144
44,Fortran v1,20.0,600.0,0.0002574520040070638
45,Fortran v2,20.0,600.0,0.00025223999546142295
46,Fortran v3,20.0,600.0,0.0002100749989040196
47,"C v1 (gcc, -O3)",20.0,600.0,0.0005409060031524859
48,"C v2 (gcc, -O2)",20.0,600.0,0.0005358399939723313
49,"C v2 (gcc, -O3)",20.0,600.0,0.0005260500038275495
50,"C v2 (gcc, -Ofast)",20.0,600.0,0.0005353209999157116
51,"C v2 (gcc, -Ofast, autoparallel)",20.0,600.0,0.0005350100036594085
52,"C v3 (gcc, -O3)",20.0,600.0,0.0004517959969234653
53,"C v4 (gcc, -O3)",20.0,600.0,0.0003484979970380664
54,"C v5 (gcc, -O2)",20.0,600.0,0.00034615700133144855
55,"C v5 (gcc, -O3)",20.0,600.0,0.00034817899722838774
56,"C v5 (gcc, -Ofast)",20.0,600.0,0.0003493369949865155
57,Python v1,20.0,800.0,1.2309904739959165
58,Python v2,20.0,800.0,1.177212458998838
59,Numba v1,20.0,800.0,0.37661817600019276
60,Numba v2,20.0,800.0,0.4074137409988907
61,Numba v3,20.0,800.0,0.3304007629994885
62,Numba v4,20.0,800.0,0.31787427500239573
63,Fortran v1,20.0,800.0,0.00024031199427554384
64,Fortran v2,20.0,800.0,0.0003013739988091402
65,Fortran v3,20.0,800.0,0.00027382800180930644
66,"C v1 (gcc, -O3)",20.0,800.0,0.0010683420041459613
67,"C v2 (gcc, -O2)",20.0,800.0,0.0005724570000893436
68,"C v2 (gcc, -O3)",20.0,800.0,0.0005611730011878535
69,"C v2 (gcc, -Ofast)",20.0,800.0,0.0005588979984167963
70,"C v2 (gcc, -Ofast, autoparallel)",20.0,800.0,0.000570190000871662
71,"C v3 (gcc, -O3)",20.0,800.0,0.0004918550039292313
72,"C v4 (gcc, -O3)",20.0,800.0,0.0004042449945700355
73,"C v5 (gcc, -O2)",20.0,800.0,0.0004021319982712157
74,"C v5 (gcc, -O3)",20.0,800.0,0.00040295999497175217
75,"C v5 (gcc, -Ofast)",20.0,800.0,0.00041068300197366625
76,Python v1,20.0,1000.0,1.5276824369939277
77,Python v2,20.0,1000.0,1.4477445049997186
78,Numba v1,20.0,1000.0,0.378736463993846
79,Numba v2,20.0,1000.0,0.4110678259967244
80,Numba v3,20.0,1000.0,0.33030765500006964
81,Numba v4,20.0,1000.0,0.3110287360032089
82,Fortran v1,20.0,1000.0,0.0003093960040132515
83,Fortran v2,20.0,1000.0,0.0003256700001657009
84,Fortran v3,20.0,1000.0,0.00024401600239798427
85,"C v1 (gcc, -O3)",20.0,1000.0,0.0011524920046213083
86,"C v2 (gcc, -O2)",20.0,1000.0,0.0006148230022517964
87,"C v2 (gcc, -O3)",20.0,1000.0,0.0006022430025041103
88,"C v2 (gcc, -Ofast)",20.0,1000.0,0.000591827993048355
89,"C v2 (gcc, -Ofast, autoparallel)",20.0,1000.0,0.0005917199960094877
90,"C v3 (gcc, -O3)",20.0,1000.0,0.0005256379954516888
91,"C v4 (gcc, -O3)",20.0,1000.0,0.0004197829985059798
92,"C v5 (gcc, -O2)",20.0,1000.0,0.00041578899981686845
93,"C v5 (gcc, -O3)",20.0,1000.0,0.00041623300057835877
94,"C v5 (gcc, -Ofast)",20.0,1000.0,0.0004539829969871789
95,Python v1,20.0,1200.0,1.828449915003148
96,Python v2,20.0,1200.0,1.815261207993899
97,Numba v1,20.0,1200.0,0.3764125919988146
98,Numba v2,20.0,1200.0,0.4068432979984209
99,Numba v3,20.0,1200.0,0.328118268000253
100,Numba v4,20.0,1200.0,0.317100242995366
101,Fortran v1,20.0,1200.0,0.0005011149987694807
102,Fortran v2,20.0,1200.0,0.0003229080029996112
103,Fortran v3,20.0,1200.0,0.0002561590008554049
104,"C v1 (gcc, -O3)",20.0,1200.0,0.001188729002024047
105,"C v2 (gcc, -O2)",20.0,1200.0,0.0006315999999060296
106,"C v2 (gcc, -O3)",20.0,1200.0,0.0006316060025710613
107,"C v2 (gcc, -Ofast)",20.0,1200.0,0.000620833998254966
108,"C v2 (gcc, -Ofast, autoparallel)",20.0,1200.0,0.0006202090007718652
109,"C v3 (gcc, -O3)",20.0,1200.0,0.0005322240031091496
110,"C v4 (gcc, -O3)",20.0,1200.0,0.0004169230014667846
111,"C v5 (gcc, -O2)",20.0,1200.0,0.00041590699402149767
112,"C v5 (gcc, -O3)",20.0,1200.0,0.0004154229973210022
113,"C v5 (gcc, -Ofast)",20.0,1200.0,0.00042798600043170154
114,Python v1,20.0,1400.0,2.1174094090019935
115,Python v2,20.0,1400.0,2.0673397999998997
116,Numba v1,20.0,1400.0,0.37717013499786844
117,Numba v2,20.0,1400.0,0.40819213000213495
118,Numba v3,20.0,1400.0,0.32935171000281116
119,Numba v4,20.0,1400.0,0.3176302079955349
120,Fortran v1,20.0,1400.0,0.0005110650017741136
121,Fortran v2,20.0,1400.0,0.000308920003590174
122,Fortran v3,20.0,1400.0,0.00027125499764224514
123,"C v1 (gcc, -O3)",20.0,1400.0,0.001176488003693521
124,"C v2 (gcc, -O2)",20.0,1400.0,0.00066697399597615
125,"C v2 (gcc, -O3)",20.0,1400.0,0.000666727006318979
126,"C v2 (gcc, -Ofast)",20.0,1400.0,0.0006494569970527664
127,"C v2 (gcc, -Ofast, autoparallel)",20.0,1400.0,0.0006510090024676174
128,"C v3 (gcc, -O3)",20.0,1400.0,0.0005382169983931817
129,"C v4 (gcc, -O3)",20.0,1400.0,0.000424694997491315
130,"C v5 (gcc, -O2)",20.0,1400.0,0.0004210619954392314
131,"C v5 (gcc, -O3)",20.0,1400.0,0.0004272720034350641
132,"C v5 (gcc, -Ofast)",20.0,1400.0,0.00042633699922589585
133,Python v1,20.0,1600.0,2.456351952001569
134,Python v2,20.0,1600.0,2.400195882000844
135,Numba v1,20.0,1600.0,0.378155891005008
136,Numba v2,20.0,1600.0,0.4080621689936379
137,Numba v3,20.0,1600.0,0.3284158509995905
138,Numba v4,20.0,1600.0,0.31646308800554834
139,Fortran v1,20.0,1600.0,0.00041639700066298246
140,Fortran v2,20.0,1600.0,0.00036888600152451545
141,Fortran v3,20.0,1600.0,0.0002920219994848594
142,"C v1 (gcc, -O3)",20.0,1600.0,0.0012490250010159798
143,"C v2 (gcc, -O2)",20.0,1600.0,0.0007121009984984994
144,"C v2 (gcc, -O3)",20.0,1600.0,0.0007123199975467287
145,"C v2 (gcc, -Ofast)",20.0,1600.0,0.0008136250035022385
146,"C v2 (gcc, -Ofast, autoparallel)",20.0,1600.0,0.0007002159982221201
147,"C v3 (gcc, -O3)",20.0,1600.0,0.0005455479986267164
148,"C v4 (gcc, -O3)",20.0,1600.0,0.00044917799823451787
149,"C v5 (gcc, -O2)",20.0,1600.0,0.0004333039978519082
150,"C v5 (gcc, -O3)",20.0,1600.0,0.00043440300214570016
151,"C v5 (gcc, -Ofast)",20.0,1600.0,0.00044424400402931497
152,Python v1,20.0,1800.0,2.763136923997081
153,Python v2,20.0,1800.0,2.6213362509952276
154,Numba v1,20.0,1800.0,0.3780044609957258
155,Numba v2,20.0,1800.0,0.40956523299973924
156,Numba v3,20.0,1800.0,0.3265739350026706
157,Numba v4,20.0,1800.0,0.31924406299367547
