,version,num_steps,model_size,time
0,Python v1,0.0,1000.0,2.787004632409662e-06
1,Python v2,0.0,1000.0,2.748005499597639e-06
2,Numba v1,0.0,1000.0,0.00020430300355656072
3,Numba v2,0.0,1000.0,0.40902564900170546
4,Numba v3,0.0,1000.0,0.00025672199990367517
5,Numba v4,0.0,1000.0,0.00024971500533865765
6,Fortran v1,0.0,1000.0,5.724003131035715e-06
7,Fortran v2,0.0,1000.0,5.790003342553973e-06
8,Fortran v3,0.0,1000.0,5.709996912628412e-06
9,"C v1 (gcc, -O3)",0.0,1000.0,8.831100421957672e-05
10,"C v2 (gcc, -O2)",0.0,1000.0,0.00010932399891316891
11,"C v2 (gcc, -O3)",0.0,1000.0,8.178900316124782e-05
12,"C v2 (gcc, -Ofast)",0.0,1000.0,0.00010844700591405854
13,"C v2 (gcc, -Ofast, autoparallel)",0.0,1000.0,8.136800170177594e-05
14,"C v3 (gcc, -O3)",0.0,1000.0,8.236199937527999e-05
15,"C v4 (gcc, -O3)",0.0,1000.0,0.00011154199455631897
16,"C v5 (gcc, -O2)",0.0,1000.0,0.00010675500379875302
17,"C v5 (gcc, -O3)",0.0,1000.0,9.634299931349233e-05
18,"C v5 (gcc, -Ofast)",0.0,1000.0,9.669700375525281e-05
19,Python v1,10.0,1000.0,0.7499701170017943
20,Python v2,10.0,1000.0,0.73486250499991
21,Numba v1,10.0,1000.0,0.38109880900447024
22,Numba v2,10.0,1000.0,0.4072432709945133
23,Numba v3,10.0,1000.0,0.31664673799969023
24,Numba v4,10.0,1000.0,0.30810663999727694
25,Fortran v1,10.0,1000.0,0.00017681699682725593
26,Fortran v2,10.0,1000.0,0.00012667400005739182
27,Fortran v3,10.0,1000.0,9.160999616142362e-05
28,"C v1 (gcc, -O3)",10.0,1000.0,0.00024826899607433006
29,"C v2 (gcc, -O2)",10.0,1000.0,0.00023213899839902297
30,"C v2 (gcc, -O3)",10.0,1000.0,0.0002237189983134158
31,"C v2 (gcc, -Ofast)",10.0,1000.0,0.00021731499873567373
32,"C v2 (gcc, -Ofast, autoparallel)",10.0,1000.0,0.00021630899573210627
33,"C v3 (gcc, -O3)",10.0,1000.0,0.00033627399534452707
34,"C v4 (gcc, -O3)",10.0,1000.0,0.00019064600201090798
35,"C v5 (gcc, -O2)",10.0,1000.0,0.00018927000201074407
36,"C v5 (gcc, -O3)",10.0,1000.0,0.0001843029967858456
37,"C v5 (gcc, -Ofast)",10.0,1000.0,0.0001875710004242137
38,Python v1,20.0,1000.0,1.5094747409966658
39,Python v2,20.0,1000.0,1.4833762859998387
40,Numba v1,20.0,1000.0,0.37651348000508733
41,Numba v2,20.0,1000.0,0.407269509996695
42,Numba v3,20.0,1000.0,0.3291854420021991
43,Numba v4,20.0,1000.0,0.32197019000159344
44,Fortran v1,20.0,1000.0,0.0002965060048154555
45,Fortran v2,20.0,1000.0,0.0002905959991039708
46,Fortran v3,20.0,1000.0,0.0002928530011558905
47,"C v1 (gcc, -O3)",20.0,1000.0,0.0011836070043500513
48,"C v2 (gcc, -O2)",20.0,1000.0,0.0006009870048728772
49,"C v2 (gcc, -O3)",20.0,1000.0,0.0006001759975333698
50,"C v2 (gcc, -Ofast)",20.0,1000.0,0.0005912650012760423
51,"C v2 (gcc, -Ofast, autoparallel)",20.0,1000.0,0.000591385003644973
52,"C v3 (gcc, -O3)",20.0,1000.0,0.0005227639994700439
53,"C v4 (gcc, -O3)",20.0,1000.0,0.00041218400292564183
54,"C v5 (gcc, -O2)",20.0,1000.0,0.0004126229978282936
55,"C v5 (gcc, -O3)",20.0,1000.0,0.0004210900006000884
56,"C v5 (gcc, -Ofast)",20.0,1000.0,0.0004154640046181157
57,Python v1,30.0,1000.0,2.2646797849956783
58,Python v2,30.0,1000.0,2.196558469993761
59,Numba v1,30.0,1000.0,0.37595719099772396
60,Numba v2,30.0,1000.0,0.406996107994928
61,Numba v3,30.0,1000.0,0.3371930190041894
62,Numba v4,30.0,1000.0,0.3256398259982234
63,Fortran v1,30.0,1000.0,0.000592463999055326
64,Fortran v2,30.0,1000.0,0.00042998199933208525
65,Fortran v3,30.0,1000.0,0.00041525200504111126
66,"C v1 (gcc, -O3)",30.0,1000.0,0.00106478099769447
67,"C v2 (gcc, -O2)",30.0,1000.0,0.0010517810005694628
68,"C v2 (gcc, -O3)",30.0,1000.0,0.0010521919975872152
69,"C v2 (gcc, -Ofast)",30.0,1000.0,0.0010591579994070344
